"","words","counts","len"
"6553","delcamino,",1,10
"6554","delcapítulo",1,11
"6555","delcarácter",1,11
"6556","delcaso",1,7
"6557","delcochero,",1,11
"6558","delcomedor,",1,11
"6559","delcomedor.Se",1,13
"6560","delconde",1,8
"6561","delconde,",2,9
"6562","delconde.El",1,11
"6563","delconvento",1,11
"6564","delcual",1,7
"6565","delcuarto.Don",1,13
"6566","delderecho",1,10
"6567","delderrumbado",1,13
"6568","deldinero",1,9
"6569","delduque",1,8
"6570","deledificio.El",1,14
"6571","delegados",2,9
"6572","delegados,",1,10
"6573","delemperador,",1,13
"6574","delenemigo.--Aunque",1,19
"6575","delescuadrón;",1,13
"6576","deletions",1,9
"6577","deletíope,",1,10
"6578","deletra",1,7
"6579","delgabinete",2,11
"6580","delgado",2,7
"6581","delgados",1,8
"6582","delgeneral",1,10
"6583","delgobernador,",1,14
"6584","delgobierno",1,11
"6585","delguerrillero,",1,15
"6586","delguerrillero.Éste",1,19
"6587","delhermano",1,10
"6588","delhombre",2,9
"6589","deliberado",1,10
"6590","delibrarles",1,11
"6591","delicada",2,8
"6592","delicada.Se",1,11
"6593","delicadas",1,9
"6594","delicadeza",2,10
"6595","delicado;",1,9
"6596","delicia",1,7
"6597","deliciosa",3,9
"6598","deliciosas",2,10
"6599","delicioso",3,9
"6600","delicioso.--¿Monótono",1,21
"6601","delImperio",1,10
"6602","delinterior",1,11
"6603","delívida",1,8
"6604","deljoven,",1,9
"6605","dellevar",1,8
"6606","delmismo",1,8
"6607","delnuevo",1,8
"6608","delNuevo",1,8
"6609","delo",2,4
"6610","delos",11,5
"6611","delpaís,",1,8
"6612","delpalacio",1,10
"6613","delPalo",1,7
"6614","delpapa.FIN_Traducción",1,22
"6615","delpaseo",1,8
"6616","delpecho",1,8
"6617","delplan",1,7
"6618","delpoder",2,8
"6619","delpresidente",1,13
"6620","delprimero,",1,11
"6621","delprimogénito",1,14
"6622","delpríncipe",1,11
"6623","delprisionero.--Muy",1,19
"6624","delprivilegio",1,13
"6625","delrancho",1,9
"6626","delrancho,",1,10
"6627","delrancho:",1,10
"6628","delRhin,",1,8
"6629","delsable.",1,9
"6630","delSaulay",2,9
"6631","delSaulay,",1,10
"6632","delsendero,",1,11
"6633","delsepulcro",1,11
"6634","delsitio",1,8
"6635","delsol",1,6
"6636","delsubterráneo",1,14
"6637","delterreno",1,10
"6638","deltodo",1,7
"6639","deltodo.",1,8
"6640","deltrayecto",1,11
"6641","DELUIS",2,6
"6642","deLuis,",1,7
"6643","deluz",1,5
"6644","demaletas.",1,10
"6645","demand",1,6
"6646","demanda",1,7
"6647","demanda,",1,8
"6648","demanda;",1,8
"6649","demandar",1,8
"6650","demarcación",1,11
"6651","demarcha,",1,9
"6652","demarcha.Las",1,12
"6653","demás",30,5
"6654","demás,",13,6
"6655","Demás,",2,6
"6656","Demás,en",1,8
"6657","demáscelosos.La",1,15
"6658","demáscuriosos,",1,14
"6659","demásfavorables",1,15
"6660","demáshabitaciones",1,17
"6661","demasiada",2,9
"6662","demasiadadesventaja,",1,20
"6663","demasiado",28,9
"6664","demasiado,",3,10
"6665","demasiado.Las",1,13
"6666","demasiadotarde",1,14
"6667","dematones",1,9
"6668","dematrimonio",1,12
"6669","deme",1,4
"6670","demeditación;",1,13
"6671","deMéjico",1,8
"6672","deMéjico,",3,9
"6673","deMéjico.El",1,11
"6674","deMeriadec",1,10
"6675","demi",2,4
"6676","demí",2,4
"6677","demirada",1,8
"6678","deMiramón,",2,10
"6679","deMiramón.D.",1,12
"6680","demirar",1,7
"6681","demis",2,5
"6682","democrático",1,11
"6683","demodales;",1,10
"6684","demoler",1,7
"6685","demoliendo",1,10
"6686","demonio",2,7
"6687","demonio,",2,8
"6688","demonio!--No,",1,13
"6689","demonios",3,8
"6690","demontre,",1,9
"6691","demos",1,5
"6692","demostraba",4,10
"6693","demostraban",1,11
"6694","demostraciones",1,14
"6695","demostrado",1,10
"6696","demostramos",1,11
"6697","demostrando",1,11
"6698","demostrar",2,9
"6699","demostrará",1,10
"6700","demostrarle",5,11
"6701","demostrarles",1,12
"6702","demostrarmecada",1,15
"6703","demostrase",1,10
"6704","demuchos",1,8
"6705","demuestra",4,9
"6706","demuestre",2,9
"6707","demúsculos",1,10
"6708","demuselina",1,10
"6709","den",3,3
"6710","denada",1,6
"6711","denaranjos",1,10
"6712","denme",2,5
"6713","deno",1,4
"6714","denodado,",1,9
"6715","denotaban",2,9
"6716","denotan",1,7
"6717","denoviembre",1,11
"6718","densa",2,5
"6719","dentro",26,6
"6720","denuestra",1,9
"6721","denuestros",1,10
"6722","denuevo",4,7
"6723","denuncia",1,8
"6724","denunciado",2,10
"6725","deobrar",1,7
"6726","deopiniones",1,11
"6727","deOrizaba.Cinco",1,15
"6728","depájaros,",1,10
"6729","depalacio,",1,10
"6730","deparaba",1,8
"6731","departamos",1,10
"6732","departía",2,8
"6733","departía,",1,9
"6734","departían",1,9
"6735","departíanalegremente",1,20
"6736","depedirle",1,9
"6737","dependa",1,7
"6738","depende",4,7
"6739","depender",1,8
"6740","dependíacompletamente",1,21
"6741","dependíade",1,10
"6742","dependíapara",1,12
"6743","dependido",1,9
"6744","dependiese,",1,11
"6745","depends",1,7
"6746","depequeños",1,10
"6747","deperder",1,8
"6748","deperseguir",1,11
"6749","deperspectiva",1,13
"6750","depie",1,5
"6751","depieles,",1,9
"6752","deplata",1,7
"6753","deplomo.--¡Adelante!",1,20
"6754","deploraba.Doña",1,14
"6755","deploraban",1,10
"6756","deplorable",1,10
"6757","deplorablede",1,12
"6758","deplorablesituación.Como",1,24
"6759","deploro",1,7
"6760","deponernos",1,10
"6761","deporte",1,7
"6762","depositado",3,10
"6763","depositar",1,9
"6764","depositario",2,11
"6765","depositarla",1,11
"6766","depostración",1,12
"6767","depredaciones",1,13
"6768","depresenciar.--Está",1,19
"6769","deprestarle",1,11
"6770","deprimogenitura",1,15
"6771","deproteger",1,10
"6772","dePuebla;",2,9
"6773","depulquero",1,10
"6774","depúrpura.Méjico",1,16
"6775","deque",5,5
"6776","dequerer",1,8
"6777","dequién",1,7
"6778","dequiméricos",1,12
"6779","derecha",18,7
"6780","derecha,",5,8
"6781","derecha;",1,8
"6782","derecha.Después",1,15
"6783","derechade",1,9
"6784","derechadel",1,10
"6785","derecho",20,7
"6786","derecho,",3,8
"6787","derecho?",1,8
"6788","derecho?--¿Con",1,14
"6789","derechodel",1,10
"6790","derechos",1,8
"6791","derechos.--No",1,13
"6792","derechura",2,9
"6793","derecobrar",1,10
"6794","derecomendar",1,12
"6795","dereconciliación",1,16
"6796","dereconocer",1,11
"6797","deregreso.--Se",1,14
"6798","derehén.",1,8
"6799","derelaciones",1,12
"6800","derepresentar",1,13
"6801","derestablecer",1,13
"6802","deretirarse.--Dios",1,18
"6803","dereunir",1,8
"6804","derezongar",1,10
"6805","derivative",3,10
"6806","derive",1,6
"6807","derodillas",1,10
"6808","derramamiento",1,13
"6809","derribado",3,9
"6810","derribando",1,10
"6811","derribándole",1,12
"6812","derribar",2,8
"6813","derribaría",1,10
"6814","derribaron",1,10
"6815","derribe,",1,8
"6816","derribó",1,7
"6817","derrota",6,7
"6818","derrota,",2,8
"6819","derrota.Entonces",1,16
"6820","derrotaral",1,10
"6821","derrotarle",1,10
"6822","derrotarlo,",1,11
"6823","derrotarlos;",1,12
"6824","derrotaron",1,10
"6825","derrumbarse.Y",1,13
"6826","des",1,3
"6827","desafiado",1,9
"6828","desaforadamente.--¡Demonios!",1,28
"6829","desaforadas",1,11
"6830","desagradable?--No;",1,18
"6831","desaldar",1,8
"6832","desalentaban,",2,13
"6833","desalentarse",1,12
"6834","desaliento",1,10
"6835","desaliento,",3,11
"6836","desaliento?--No,",1,16
"6837","desalmado,",1,10
"6838","desalmados",2,10
"6839","desalojados",1,11
"6840","desaludarse",1,11
"6841","desangre",1,8
"6842","desaparece.--El",1,15
"6843","desaparecer",6,11
"6844","desaparecer.--¡Diablo!",1,22
"6845","desapareceren",1,13
"6846","desaparecía",1,11
"6847","desaparecida",1,12
"6848","desaparecido",3,12
"6849","desaparecido,",2,13
"6850","desaparecido,emprendiendo",1,25
"6851","desaparecido;",1,13
"6852","desaparecieron",2,14
"6853","desapareció",6,11
"6854","desapareció,",1,12
"6855","desapareció!",1,12
"6856","desapareció.Casi",1,16
"6857","desapego",2,8
"6858","desaprovecheel",1,14
"6859","desarmarle.El",1,13
"6860","desarrendó",1,10
"6861","desarrollado",1,12
"6862","desarrollan",1,11
"6863","desasosegado",2,12
"6864","desasosegados,",1,14
"6865","desasosegarle",1,13
"6866","desasosiego",1,11
"6867","desasosiegue",1,12
"6868","desastradamente,",1,16
"6869","desastre",2,8
"6870","desastre.--Veré,",1,16
"6871","desatinada,",1,11
"6872","desauces",1,8
"6873","desazona,",1,9
"6874","desbalijando",1,12
"6875","desbalijen.--¿Le",1,16
"6876","desbandado",1,10
"6877","desbandados",1,11
"6878","desbandaron",1,11
"6879","desbandarse.El",1,14
"6880","desbandarse.La",1,14
"6881","desbarataba",2,11
"6882","descabellado.",1,13
"6883","descansaba",1,10
"6884","descansado,",1,11
"6885","descansados",1,11
"6886","descansando",1,11
"6887","descansar",1,9
"6888","descansar,",1,10
"6889","descansar;",1,10
"6890","descanso",2,8
"6891","descanso,",2,9
"6892","descanso,pues",1,13
"6893","descanso.",1,9
"6894","descanso.López",1,14
"6895","descarado",1,9
"6896","descarga",2,8
"6897","descarga,",1,9
"6898","descargaban",1,11
"6899","descargando",1,11
"6900","descarnadosel",1,13
"6901","descendido,",1,11
"6902","descendieron",2,12
"6903","descendióapresuradamente",1,24
"6904","desceñido",1,9
"6905","descenso",1,8
"6906","desciendo",1,9
"6907","descolgó",1,8
"6908","descompasadamente",1,17
"6909","descompuesto",1,12
"6910","desconcertarsey",1,15
"6911","desconfiado",1,11
"6912","desconfianza,",1,13
"6913","desconfiase,",1,12
"6914","desconfío",1,9
"6915","desconocida",4,11
"6916","desconocida,",1,12
"6917","desconocida;",1,12
"6918","desconocido",19,11
"6919","desconocido,",7,12
"6920","desconocido,retrocediendo",1,25
"6921","desconocido;",2,12
"6922","desconocido.--¿Hace",1,19
"6923","desconocido.--¿Y",1,16
"6924","desconocido.--Explícate.--Vino",1,30
"6925","desconocido.--No",1,16
"6926","desconocido.--Pues",1,18
"6927","desconocido.--Sí,",1,17
"6928","desconocido.Los",2,15
"6929","desconocido.No",1,14
"6930","desconocidos",4,12
"6931","desconocidos.",1,13
"6932","desconocidose",1,13
"6933","desconsuelo",1,11
"6934","descontentadizo",1,15
"6935","descontento",2,11
"6936","descoyuntado.--Te",1,17
"6937","described",1,9
"6938","describía",2,9
"6939","describiendo",2,12
"6940","describirel",1,11
"6941","descripción",1,11
"6942","descrito",2,8
"6943","descrito,",1,9
"6944","descuartizado",1,13
"6945","descuartizado.--Conduzcan",1,25
"6946","descubierta",4,11
"6947","descubierta,",1,12
"6948","descubiertacon",1,14
"6949","descubierto",6,11
"6950","descubierto.Don",1,15
"6951","descubierto.Por",1,15
"6952","descubiertolos",1,14
"6953","descubiertos",1,12
"6954","descubiertos.",1,13
"6955","descubría",2,9
"6956","descubrían",2,10
"6957","descubrídonde",1,13
"6958","descubriéndose",1,14
"6959","descubriendoun",1,14
"6960","descubriera",1,11
"6961","descubriera,",1,12
"6962","descubrieron",1,12
"6963","descubrimiento",2,14
"6964","Descubrimiento",1,14
"6965","descubrimientopersiguiera",1,25
"6966","descubrir",7,9
"6967","descubrir,",1,10
"6968","descubrirse,",1,12
"6969","descubrírselo",1,13
"6970","descuidado",1,10
"6971","descuidadoprecaución",1,20
"6972","descuidan",1,9
"6973","descuidaronsu",1,13
"6974","descuido",4,8
"6975","desde",60,5
"6976","Desde",3,5
"6977","desdefuera,",1,11
"6978","desdehace",1,9
"6979","desdehacía",1,10
"6980","desdela",1,7
"6981","desdeluego",1,10
"6982","desdén",3,6
"6983","desdén,",2,7
"6984","desdén.--Nos",1,12
"6985","desdén.--Tal",1,12
"6986","desdén.Luego",1,12
"6987","desdeñasedarse",1,14
"6988","desdeñoso",1,9
"6989","desdeVeracruz",1,13
"6990","desdicha",1,8
"6991","desdichada",1,10
"6992","desdichadas,que",1,15
"6993","desdichado",5,10
"6994","desdichas",1,9
"6995","dese",1,4
"6996","desea",7,5
"6997","desea,",1,6
"6998","desea.--¡Ah!",1,12
"6999","deseaba",2,7
"7000","deseaba...--Sí,",1,15
"7001","deseaban.Don",1,12
"7002","deseada",1,7
"7003","deseado,",1,8
"7004","deseanconocerle.--Señoras,",1,26
"7005","desear",1,6
"7006","desearía",3,8
"7007","desearse.De",1,11
"7008","desembarazado;",1,14
"7009","desembarazados",1,14
"7010","desembarazando",1,14
"7011","desembarazo;",1,12
"7012","desembarcado",1,12
"7013","desembarcamos",1,13
"7014","desembarcar",1,11
"7015","desemboca",1,9
"7016","desembocaban",1,12
"7017","desembocaduradel",1,16
"7018","desembocar",1,10
"7019","desembozado",1,11
"7020","desempachado",1,12
"7021","desempeñaba",2,11
"7022","desempeñadoencumbrados",1,22
"7023","desempeñaneste",1,14
"7024","desempeñar",4,10
"7025","desempeñar;",1,11
"7026","desempeñaré",1,11
"7027","desempeñas",1,10
"7028","desempeñó",1,9
"7029","desempeñóun",1,11
"7030","desempolvaban",1,13
"7031","desenfreno",1,10
"7032","desenfrenos,",1,12
"7033","desengáñese",1,11
"7034","desenlace",4,9
"7035","desenlacede",1,11
"7036","desenlacetan",1,12
"7037","desenmascarado",1,14
"7038","desenmascararlos",1,16
"7039","desenvainando",1,13
"7040","desenvolvían",1,12
"7041","desenvolviéndose",1,16
"7042","desenvuelto",1,11
"7043","desenvuelve",2,11
"7044","deseo",19,5
"7045","Deseo",1,5
"7046","deseo,",2,6
"7047","deseo;",1,6
"7048","deseo:",1,6
"7049","deseo.--Dice",1,12
"7050","deseo.--El",1,10
"7051","deseo.--No",1,10
"7052","deseo.--Si",1,10
"7053","deseo.Don",1,9
"7054","deseode",2,7
"7055","deseollegar",1,11
"7056","deseos",8,6
"7057","deseos,",2,7
"7058","deseos;",2,7
"7059","deseos?--Le",1,11
"7060","deseos.--¡Ah!",1,13
"7061","deseos.--Escúcheme",1,18
"7062","deseosos",1,8
"7063","deserción,",1,10
"7064","desertarían",1,11
"7065","deservicio.El",1,13
"7066","desesenta",1,9
"7067","desespera?",1,10
"7068","desesperaba",1,11
"7069","desesperaba,",1,12
"7070","desesperabaapoderarse",1,21
"7071","desesperación",3,13
"7072","desesperación,",2,14
"7073","desesperación:",1,14
"7074","desesperación.--Vive",1,20
"7075","desesperación.El",1,16
"7076","desesperadas,",1,13
"7077","desesperado",1,11
"7078","desesperado;",1,12
"7079","desesperar",1,10
"7080","desesperar.",1,11
"7081","desespero",1,9
"7082","desespero,",1,10
"7083","desfallecida",1,12
"7084","desfavorables;",1,14
"7085","desfigurado",1,11
"7086","desfigurados",1,12
"7087","desfiladero",3,11
"7088","desfiladeros",1,12
"7089","desfiladerosde",1,14
"7090","desfilaron",1,10
"7091","desfile",1,7
"7092","desfile,",1,8
"7093","desgarrada",1,10
"7094","desgarrado",1,10
"7095","desgarrando",1,11
"7096","desgracia",16,9
"7097","desgracia,",5,10
"7098","desgracia;",1,10
"7099","desgracia!--Sería",1,17
"7100","desgracia?",1,10
"7101","desgracia.--¡Diantre!",1,21
"7102","desgraciaa",1,10
"7103","desgraciadarepública,",1,21
"7104","desgraciadas",1,12
"7105","desgraciado",1,11
"7106","desgraciados",2,12
"7107","desgraciano",1,11
"7108","desgracias",1,10
"7109","desgraciatales",1,14
"7110","deshacernos",1,11
"7111","deshacerse",1,10
"7112","deshizo",2,7
"7113","deshonra?",1,9
"7114","deshonra.--Hable",1,16
"7115","deshonrada",1,10
"7116","deshonrado",1,10
"7117","deshonrado,de",1,13
"7118","deshonre.--Me",1,13
"7119","desí",1,4
"7120","desierta",5,8
"7121","desierta;",2,9
"7122","desierto",5,8
"7123","desierto,",1,9
"7124","desierto:",1,9
"7125","desierto.",1,9
"7126","desierto.Miramón",1,16
"7127","desiertome",1,10
"7128","designada",1,9
"7129","designando",3,10
"7130","designio",1,8
"7131","designiosbélicos.",1,17
"7132","desigualdades",1,13
"7133","desiguales,",1,11
"7134","desimpatía;",1,11
"7135","desistiese",1,10
"7136","deslices",1,8
"7137","desligado",1,9
"7138","deslizaba",1,9
"7139","deslizaban",2,10
"7140","deslizado",1,9
"7141","deslizándose",1,12
"7142","deslizó",4,7
"7143","deslumbradores",2,14
"7144","deslumbrados",1,12
"7145","deslumbramiento;me",1,18
"7146","desmañado",1,9
"7147","desmayada.--¡Vive",1,17
"7148","desmayada.--¿Y",1,14
"7149","desmayemospues;",1,15
"7150","desmayó.Domingo",1,15
"7151","desmedida",1,9
"7152","desmemoriado.",1,13
"7153","desmóchalo.--¿Y",1,15
"7154","desmontada",1,10
"7155","desmontar",1,9
"7156","desmoralización",1,15
"7157","desmoralizado",1,13
"7158","desmoralizados",2,14
"7159","desmoralizó",1,11
"7160","desmoronado",1,11
"7161","desnudos",1,8
"7162","desobedecer",1,11
"7163","desobreparto,",1,13
"7164","desoja",1,6
"7165","desolaba",1,8
"7166","desoldados",1,10
"7167","desollarte",1,10
"7168","desorden",5,8
"7169","desorden:",1,9
"7170","desorden.Los",1,12
"7171","desordende",1,10
"7172","desorganizada",1,13
"7173","despabilarse",1,12
"7174","despacharonsu",1,13
"7175","despacho,",2,9
"7176","despacio,",1,9
"7177","despacio?--Tienes",1,17
"7178","desparramaba",1,12
"7179","desparramaban",2,13
"7180","desparramadas",1,13
"7181","desparramado",1,12
"7182","despavorían,",1,12
"7183","despavorida",3,11
"7184","despavorida,",1,12
"7185","despavoridas",1,12
"7186","despavoridas.Casi",1,17
"7187","despavorido",2,11
"7188","despavorido.--Ya",1,16
"7189","despavoridos",3,12
"7190","despecho",2,8
"7191","despecho;",1,9
"7192","despecho.--¡Vive",1,16
"7193","despedían",1,9
"7194","despedida",3,9
"7195","despedido",3,9
"7196","despedidos",1,10
"7197","despedirme",2,10
"7198","despedirse",2,10
"7199","despedirse,",1,11
"7200","despegarlos",1,11
"7201","despego",1,7
"7202","despeñaba",1,9
"7203","desperdiciado",1,13
"7204","desperdiciaron",1,14
"7205","despertaba,",1,11
"7206","despertada",1,10
"7207","despertado",1,10
"7208","despertados",1,11
"7209","despertar",5,9
"7210","despertarse",1,11
"7211","despertarse,",1,12
"7212","despertarsospechas?",1,19
"7213","despertase.Realmente",1,20
"7214","despertó",1,8
"7215","despertó,",1,9
"7216","despida",1,7
"7217","despidiendo",2,11
"7218","despidiéndose",1,13
"7219","despidieron",1,11
"7220","despidió",6,8
"7221","despierta",1,9
"7222","despistarles",1,12
"7223","Despite",1,7
"7224","desplomado",1,10
"7225","despojado",3,9
"7226","despojado,",1,10
"7227","despojar",1,8
"7228","despojaran,",1,11
"7229","despojarlecon",1,13
"7230","despójese",1,9
"7231","despojó",1,7
"7232","despojos",3,8
"7233","desposaron,",1,11
"7234","desprecia",1,9
"7235","despreciabadesde",1,16
"7236","despreciable",2,12
"7237","despreciable.--¿Cuánto",1,22
"7238","despreciable.Aquel",1,18
"7239","despreciado,",1,12
"7240","despreciásemos.XVIIILA",1,22
"7241","despreciativa",1,13
"7242","desprécieme",1,11
"7243","desprecio",2,9
"7244","desprecio.--Prosiga",1,19
"7245","desprenderse",1,12
"7246","desprendiéndose",1,15
"7247","desprendió",1,10
"7248","desprevenidos;",1,14
"7249","desprevenidos.",1,14
"7250","después",135,7
"7251","Después",3,7
"7252","después,",5,8
"7253","después.--¡Oh!",1,14
"7254","después.A",1,9
"7255","despuésarmado",1,13
"7256","despuésde",4,9
"7257","despuésno",1,9
"7258","desquitarse",1,11
"7259","desquite",1,8
"7260","desquite.No",1,11
"7261","destacaba",1,9
"7262","destacado",1,9
"7263","destacamento",2,12
"7264","destacamento,",1,13
"7265","destacamento,del",1,16
"7266","destacamentos.Los",1,17
"7267","destacó",2,7
"7268","destapando",1,10
"7269","destapó",2,7
"7270","desterrado.",1,11
"7271","desterrados,",1,12
"7272","destinada",1,9
"7273","destinado",1,9
"7274","destinados",2,10
"7275","destino",3,7
"7276","destino,",1,8
"7277","destino?--Si",1,12
"7278","destino.De",1,10
"7279","destinos",1,8
"7280","destituidas",1,11
"7281","destreza",4,8
"7282","destreza,",1,9
"7283","destroy",1,7
"7284","destrozaban",1,11
"7285","destrozos",1,9
"7286","destrucción",2,11
"7287","destruida.Corto",1,15
"7288","destruido,",1,10
"7289","destruyeron",1,11
"7290","desu",13,4
"7291","desúbito",1,8
"7292","desus",6,5
"7293","desuso",1,6
"7294","desvalijado",1,11
"7295","desvanecidas",1,12
"7296","desvanecido,",1,12
"7297","desvaneciendo,",1,14
"7298","desventaja",2,10
"7299","desventajosas",1,13
"7300","desventura",1,10
"7301","desventura;",1,11
"7302","desventurada",5,12
"7303","desventurado",3,12
"7304","desventurado,",1,13
"7305","desventuradohermano.Don",1,23
"7306","desventurados",1,13
"7307","desventuras",1,11
"7308","desviaba",1,8
"7309","desviando",1,9
"7310","desvíe.--Mi",1,11
"7311","detach",1,6
"7312","detan",1,5
"7313","detanteo.Don",1,12
"7314","detantos",1,8
"7315","detendré",1,8
"7316","detener",2,7
"7317","detener,",1,8
"7318","detenerle,",2,10
"7319","detenerle.--Soltad,",1,19
"7320","detenerme",1,9
"7321","detenernos,",1,11
"7322","detenerse",3,9
"7323","detenerse,",1,10
"7324","detenerse.--¡Asesino",1,20
"7325","detenerse.Al",1,12
"7326","detengo;",1,8
"7327","detenía",1,7
"7328","Detenía",1,7
"7329","detenían",1,8
"7330","detenían,",1,9
"7331","detenida,",1,9
"7332","detenidamente.Era",1,17
"7333","detenido",4,8
"7334","detenidoen",1,10
"7335","deteniendo",1,10
"7336","deteniéndole",1,12
"7337","deteniéndose",5,12
"7338","determina",2,9
"7339","determinación",1,13
"7340","determinación,",1,14
"7341","determinación:",1,14
"7342","determinaciónque",1,16
"7343","determinado",3,11
"7344","determinallevar",1,15
"7345","determinarán",1,12
"7346","determinarsu",1,12
"7347","determine",1,9
"7348","determinó",3,9
"7349","detestable",1,10
"7350","detestables?--Muy",1,17
"7351","detiempo",2,8
"7352","detiene",1,7
"7353","detienen",1,8
"7354","detienen;",1,9
"7355","detocarla",1,9
"7356","detoda",1,6
"7357","detodas",1,7
"7358","detodo",1,6
"7359","Detodo",1,6
"7360","detodos",1,7
"7361","detodos,",1,8
"7362","detonación",1,10
"7363","detono",1,6
"7364","detono;",1,7
"7365","detraicionar",1,12
"7366","detrás",8,6
"7367","detrásde",1,8
"7368","detrásdel",1,9
"7369","detropas",1,8
"7370","detuvieron",5,10
"7371","detuvieron,",1,11
"7372","detuvieron;ante",1,15
"7373","detuvieron.De",1,13
"7374","detuvo",21,6
"7375","detuvo:",1,7
"7376","detuvodelante",1,13
"7377","deuda",1,5
"7378","deudo,",1,6
"7379","deudor",1,6
"7380","deun",11,4
"7381","deuna",4,5
"7382","deUnión",1,7
"7383","deuno",1,5
"7384","deunos",1,6
"7385","deutensilios",1,12
"7386","deV.",2,4
"7387","deV.,",1,5
"7388","devacilación",1,12
"7389","devaquero,",1,10
"7390","deveinte",1,8
"7391","deveinticinco",1,13
"7392","dever",1,5
"7393","deVeracruz",4,10
"7394","deverdor",1,8
"7395","deverle.",1,8
"7396","deverse",1,7
"7397","devertiginosa",1,13
"7398","deviandantes,",1,13
"7399","devisitantes,",1,13
"7400","Devisme",1,7
"7401","Devisme,",1,8
"7402","Devisme.",2,8
"7403","devoción",5,8
"7404","devoción,",1,9
"7405","devolver",6,8
"7406","devolverá",1,9
"7407","devolveré",1,9
"7408","devolverlaíntegra",1,17
"7409","devolverle",3,10
"7410","devolverles",1,11
"7411","devolvernos",1,11
"7412","devolviendo",2,11
"7413","devolvieron",1,11
"7414","devolvió",5,8
"7415","devolviósúbitamente",1,19
"7416","devoraba",2,8
"7417","devorase",1,8
"7418","devotísimo,",1,11
"7419","devoto",2,6
"7420","devoto,",1,7
"7421","devoto.",1,7
"7422","devotode",1,8
"7423","devotos",4,7
"7424","devotos,",1,8
"7425","devuelto",1,8
"7426","dezozobra",1,9
"7427","dezumba.",1,8
"7428","di",2,2
"7429","Di",1,2
"7430","Di,escucho.Domínguez,",1,21
"7431","día",36,3
"7432","Día",1,3
"7433","día,",9,4
"7434","día;",1,4
"7435","día:",1,4
"7436","día.",1,4
"7437","día.A",1,5
"7438","diablillo",1,9
"7439","diablo",11,6
"7440","diablo,",1,7
"7441","diablo!",1,7
"7442","diablo!--No",1,11
"7443","diablola",1,8
"7444","diablos",3,7
"7445","diablos!",1,8
"7446","diabólico",1,9
"7447","diagnóstico",1,11
"7448","diagonalmente,se",1,16
"7449","diálogo:--Puede",1,15
"7450","diálogo.De",1,10
"7451","diamantes",1,9
"7452","diametralmente",2,14
"7453","diametralmenteopuestos;",1,23
"7454","díapara",1,7
"7455","diapasón",1,8
"7456","díaque",1,6
"7457","diario",1,6
"7458","días",40,4
"7459","días,",7,5
"7460","días;",2,5
"7461","días.",4,5
"7462","días.--¡Diez",1,12
"7463","días.--¿Así",1,11
"7464","días.--¿Vamos",1,13
"7465","días.--Tranquilícese",1,20
"7466","días.Dicho",1,10
"7467","días.Don",1,8
"7468","díasantes",1,9
"7469","díasdespués",1,11
"7470","díasiguiente.",1,13
"7471","díasmás.",1,8
"7472","díaspara",1,8
"7473","díasque",1,7
"7474","dibujó",1,6
"7475","dice",10,4
"7476","dice,",9,5
"7477","dice;",1,5
"7478","dicen",2,5
"7479","dicen,",1,6
"7480","dicen,que",1,9
"7481","dices",3,5
"7482","dices,",2,6
"7483","dicha",17,5
"7484","Dicha",2,5
"7485","dicha,",1,6
"7486","dicha;",1,6
"7487","dicha!",1,6
"7488","dicha.--¡Primo!--Dolores,",1,25
"7489","dichaque",1,8
"7490","Dichas",1,6
"7491","dicho",25,5
"7492","Dicho",2,5
"7493","dicho,",11,6
"7494","dicho,su",1,8
"7495","dicho;",2,6
"7496","dicho?",1,6
"7497","dichoal",1,7
"7498","dichooficial",1,12
"7499","dichos",2,6
"7500","Dichos",1,6
"7501","dichosa",3,7
"7502","dichosa,",1,8
"7503","dichosa?¡Oh!",1,12
"7504","dichosa.--La",1,12
"7505","dichosaindolencia",1,17
"7506","dichosas",1,8
"7507","dichoso",2,7
"7508","dichoso!--Sí,",1,13
"7509","diciendo",3,8
"7510","diciendo,",1,9
"7511","diciendo:--¡Ah!",1,15
"7512","diciendo:--¿Vas",1,15
"7513","diciendo:--Dispénseme",1,21
"7514","diciendo:--Quisiera",1,19
"7515","diciendo:--Tenga",1,16
"7516","diciendo?",1,9
"7517","diciendo.",1,9
"7518","diciéndola",1,10
"7519","diciéndole",1,10
"7520","diciéndole:--Dígnese",1,20
"7521","diciéndole:--No",1,15
"7522","diciéndole:--Tome",1,17
"7523","diciéndole:--V.",1,15
"7524","diciéndole:Aquí",1,15
"7525","dicta",1,5
"7526","dictaba",1,7
"7527","dictaque",1,8
"7528","dictó",3,5
"7529","dieciséis",3,9
"7530","diecisieteaños;",1,15
"7531","Diego",14,5
"7532","Diego,",11,6
"7533","Diego;",4,6
"7534","Diego.",1,6
"7535","Diego.--Ahora,",1,14
"7536","Diego.--Tal",1,11
"7537","Diego.El",1,8
"7538","Diego.En",1,8
"7539","DIEGODon",1,8
"7540","Diegosacó",1,9
"7541","dientes",1,7
"7542","dientes,",1,8
"7543","dientesapretados",1,16
"7544","diera",3,5
"7545","diera,",2,6
"7546","dieran",2,6
"7547","dieran,",1,7
"7548","dieron",7,6
"7549","diese",3,5
"7550","diesen",1,6
"7551","diestra",4,7
"7552","diestra.--Adiós,",1,16
"7553","diestramente",1,12
"7554","diestramentesecuestrado",1,23
